klantnr;huidig_contractduur;VERBRUIKGAS;VERBRUIKEL;VERBRUIKHOOG;VERBRUIKLAAG;nieuwsbrief;wervingskanaal;vast_variabel;grijs_groen;startlevering;eindlevering;contract_verlengd;welstand;levensfase;bouwjaar;soort_woning;inkomen;opleiding
20028;12;1459;0;2981;3181;Y;Prijsvergelijker;vaste prijs;grijze stroom;21-10-2002;9-3-2004;niet verlengd;Midden;Alleenstaand;Onbekend;Onbekend;Onbekend;Hoog
20031;12;2323;0;2595;4172;Y;Telemarketing;variabele prijs;grijze stroom;21-10-2002;16-12-2008;niet verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
20057;12;0;4384;0;0;Y;Online;vaste prijs;grijze stroom;21-10-2002;29-9-2004;niet verlengd;Laag;Paar met kinderen;1940 tot 1969;Rijtjeshuis;modaal;Hoog
20058;12;940;3070;0;0;Y;Prijsvergelijker;vaste prijs;groene stroom;21-10-2002;21-10-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Midden
20064;99;1580;0;1573;1500;Y;Speciale sales acties;variabele prijs;grijze stroom;21-10-2002;3-6-2017;verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Laag
20079;99;1163;0;0;4221;Y;Telemarketing;variabele prijs;grijze stroom;21-10-2002;17-5-2017;verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Hoog
20128;36;2631;0;2503;1509;Y;Telemarketing;vaste prijs;grijze stroom;4-12-2002;17-2-2011;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en minimum;Laag
20136;36;4;0;1900;2508;Y;Online;variabele prijs;grijze stroom;2-1-2003;29-5-2009;niet verlengd;Midden;Paar met kinderen;Voor 1899;Vrijstaand;tussen modaal en 2 keer modaal keer modaal of meer;Laag
20139;12;0;0;2259;2721;Y;Prijsvergelijker;variabele prijs;groene stroom;21-10-2002;21-10-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Midden
20150;36;42;0;6917;1221;Y;Prijsvergelijker;vaste prijs;grijze stroom;8-8-2003;27-1-2011;niet verlengd;Laag;Paar met kinderen;Voor 1899;Hoge flat;Onbekend;Midden
20156;12;1856;0;1610;2160;Y;Prijsvergelijker;vaste prijs;groene stroom;21-10-2002;21-10-2010;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Hoog
20172;12;3209;0;5817;6657;Y;Online;variabele prijs;groene stroom;21-10-2002;21-10-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Vrijstaand;Onbekend;Laag
20181;12;0;0;5993;0;Y;Online;vaste prijs;groene stroom;4-12-2002;4-12-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Hoog
20193;36;1806;0;2036;2065;N;Online;variabele prijs;grijze stroom;16-12-2002;1-1-2012;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Midden
20219;36;1703;0;1529;1826;Y;Online;variabele prijs;grijze stroom;28-10-2002;1-1-2012;niet verlengd;Laag;Paar met kinderen;Voor 1899;Twee onder een kap;Onbekend;Midden
20235;12;0;0;1564;1232;Y;Prijsvergelijker;vaste prijs;grijze stroom;27-10-2002;22-9-2008;niet verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en minimum;Hoog
20250;36;2552;0;2648;2346;Y;Telemarketing;variabele prijs;grijze stroom;27-10-2002;1-1-2012;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Hoog
20252;12;0;2388;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;31-10-2002;6-11-2004;niet verlengd;Midden;Paar met kinderen;1940 tot 1969;Rijtjeshuis;tussen modaal en minimum;Hoog
20299;12;0;3594;0;0;Y;Online;vaste prijs;groene stroom;16-12-2002;4-6-2009;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Midden
20437;99;1850;0;2809;2746;Y;Prijsvergelijker;vaste prijs;grijze stroom;6-1-2003;30-12-2009;verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
20516;12;0;0;1079;890;N;Prijsvergelijker;variabele prijs;grijze stroom;2-1-2003;14-10-2005;niet verlengd;Hoog;Paar met kinderen;1940 tot 1969;Rijtjeshuis;modaal;Laag
20569;12;0;1803;0;0;Y;Online;vaste prijs;grijze stroom;8-12-2002;7-12-2004;niet verlengd;Laag;Paar zonder kinderen; ; ; ;Midden
20580;36;1825;0;2319;2599;Y;Speciale sales acties;variabele prijs;groene stroom;2-1-2003;18-4-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Onbekend;Onbekend;Laag
20750;12;0;3587;0;0;Y;Prijsvergelijker;vaste prijs;groene stroom;3-12-2002;3-12-2010;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Laag
20771;12;0;0;2570;0;Y;Online;variabele prijs;groene stroom;15-2-2003;15-2-2011;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
20864;24;1881;0;1382;2054;Y;Online;variabele prijs;grijze stroom;24-11-2002;25-11-2006;niet verlengd;Laag;Paar zonder kinderen;Voor 1899;Twee onder een kap;Onbekend;Midden
20948;12;0;2927;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;28-11-2002;24-9-2008;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Laag
20970;36;1549;2301;0;0;Y;Telemarketing;variabele prijs;grijze stroom;13-12-2002;1-1-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Hoog
21000;12;0;1582,5;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;12-10-2003;5-1-2007;niet verlengd;Laag;Paar met kinderen;1970 tot 1989;Twee onder een kap;tussen modaal en 2 keer modaal;Midden
21018;99;1992;0;1735;1722;Y;Prijsvergelijker;variabele prijs;grijze stroom;13-12-2002;17-5-2017;verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Laag
21037;36;1703;0;1420;1989;Y;Online;variabele prijs;groene stroom;2-1-2003;21-3-2012;niet verlengd;Laag;Paar met kinderen;Voor 1899;Etage;Onbekend;Hoog
21048;12;5392;0;4818;3901;Y;Telemarketing;variabele prijs;groene stroom;28-11-2002;10-4-2011;niet verlengd;Midden;Paar met kinderen;Voor 1899;Vrijstaand;tussen modaal en 2 keer modaal;Midden
21052;12;0;5937;0;0;Y;Inbound;vaste prijs;grijze stroom;8-8-2003;8-3-2006;niet verlengd;Midden;Paar zonder kinderen;1940 tot 1969;Vrijstaand;tussen modaal en 2 keer modaal;Hoog
21062;12;0;0;2881;2902;Y;Online;vaste prijs;grijze stroom;26-12-2002;15-2-2006;niet verlengd;Hoog;Paar zonder kinderen;1970 tot 1989;Rijtjeshuis;tussen modaal en 2 keer modaal keer modaal of meer;Hoog
21064;12;0;0;751;980;Y;Speciale sales acties;variabele prijs;groene stroom;28-11-2002;3-6-2006;niet verlengd;Laag;Paar zonder kinderen;1900 tot 1939;Rijtjeshuis;Onbekend;Midden
21076;36;0;0;663;592;Y;Prijsvergelijker;variabele prijs;groene stroom;17-4-2003;20-2-2012;niet verlengd;Midden;Paar met kinderen;1900 tot 1939;Lage flat;modaal;Laag
21084;12;1340;1775;0;0;Y;Telemarketing;vaste prijs;grijze stroom;29-11-2002;3-5-2006;niet verlengd;Midden;Paar met kinderen;1900 tot 1939;Rijtjeshuis;modaal;Hoog
21090;36;2475;4338;1821;2132;Y;Telemarketing;variabele prijs;groene stroom;4-12-2002;6-7-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Onbekend;Onbekend;Midden
21106;36;882;0;3551;2990;Y;Speciale sales acties;variabele prijs;grijze stroom;29-11-2002;27-7-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Midden
21113;99;1540;0;1485;1222;Y;Speciale sales acties;vaste prijs;grijze stroom;4-12-2002;3-6-2017;verlengd;Hoog;Paar met kinderen;Voor 1899;Vrijstaand;Onbekend;Midden
21152;99;2538;0;3326;6345;Y;Speciale sales acties;vaste prijs;grijze stroom;29-11-2002;17-5-2017;verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Laag
21171;12;246;8101;0;0;Y;Telemarketing;vaste prijs;groene stroom;29-11-2002;17-5-2010;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Vrijstaand;tussen modaal en 2 keer modaal keer modaal of meer;Midden
21181;36;1827;0;1504;1916;N;Inbound;variabele prijs;grijze stroom;26-12-2002;24-7-2012;niet verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Midden
21184;12;2771;0;1220;1274;Y;Telemarketing;vaste prijs;grijze stroom;30-11-2002;16-3-2007;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Hoog
21188;12;0;0;3012;2639;Y;Online;vaste prijs;groene stroom;29-11-2002;29-11-2010;niet verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Hoog
21202;12;0;0;423;496;Y;Online;vaste prijs;grijze stroom;29-11-2002;15-10-2007;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Hoog
21207;12;0;0;2191;0;Y;Online;vaste prijs;grijze stroom;29-11-2002;29-10-2007;niet verlengd;Midden;Paar zonder kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
21226;12;0;4167;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;4-12-2002;17-8-2005;niet verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Rijtjeshuis;modaal;Laag
21228;99;3778;11100;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;4-12-2002;18-10-2008;verlengd;Hoog;Paar met kinderen;Voor 1899;Woonboten;modaal;Hoog
21237;12;0;4360;4026;0;N;Prijsvergelijker;vaste prijs;groene stroom;4-12-2002;20-4-2007;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Hoog
21261;12;0;0;1677;2314;Y;Prijsvergelijker;variabele prijs;groene stroom;8-12-2002;8-12-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Laag
21317;36;1675;3909;0;0;Y;Speciale sales acties;variabele prijs;grijze stroom;27-12-2002;1-1-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Maisonette;Onbekend;Midden
21331;36;2238;0;2406;2899;Y;Telemarketing;vaste prijs;grijze stroom;29-11-2002;18-11-2007;niet verlengd;Hoog;Paar zonder kinderen;1900 tot 1939;Rijtjeshuis;modaal;Midden
21360;99;0;0;6420;7761;Y;Prijsvergelijker;vaste prijs;grijze stroom;30-11-2002;20-4-2017;verlengd;Hoog;Paar met kinderen;Voor 1899;Zelfstandige bejaarde;tussen modaal en 2 keer modaal;Hoog
21386;12;4784;0;4941;5048;Y;Online;vaste prijs;grijze stroom;4-12-2002;9-8-2007;niet verlengd;Laag;Paar met kinderen;Voor 1899;VrijstaandOnbekend;Onbekend;Laag
21396;36;2526;0;2023;1971;Y;Online;variabele prijs;grijze stroom;4-12-2002;19-10-2009;niet verlengd;Midden;Paar met kinderen;Voor 1899;Vrijstaand;Onbekend;Midden
21515;24;0;0;2050;2760;Y;Online;vaste prijs;grijze stroom;29-11-2002;5-9-2005;niet verlengd;Laag;Paar met kinderen;1970 tot 1989;Rijtjeshuis;modaal;Midden
21540;12;1127;0;2593;3035;Y;Telemarketing;vaste prijs;grijze stroom;4-12-2002;20-12-2010;niet verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Hoog
21555;12;0;0;1679;2933;Y;Online;variabele prijs;grijze stroom;3-12-2002;10-2-2005;niet verlengd;Hoog;Paar met kinderen;Onbekend;Vrijstaand;Onbekend;Hoog
21568;12;0;0;1174;1183;Y;Online;vaste prijs;grijze stroom;29-11-2002;29-11-2004;niet verlengd;Hoog;Paar zonder kinderen;1970 tot 1989;Rijtjeshuis;modaal;Hoog
21571;36;5142;7451;6916;8500;Y;Telemarketing;vaste prijs;grijze stroom;29-11-2002;1-1-2011;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Midden
21599;99;0;0;404;404;Y;Online;vaste prijs;grijze stroom;27-1-2004;27-4-2017;verlengd;Hoog;Paar met kinderen;Voor 1899;Vrijstaand;Onbekend;Hoog
21600;36;2363;2312;1977;2230;Y;Telemarketing;variabele prijs;grijze stroom;3-12-2002;25-3-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Vrijstaand;Onbekend;Hoog
21603;36;2453;0;1781;1220;Y;Online;vaste prijs;grijze stroom;29-11-2002;20-9-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Hoog
21605;99;2739;0;1713;2006;Y;Telemarketing;vaste prijs;grijze stroom;4-12-2002;10-12-2009;verlengd;Midden;Paar met kinderen;1900 tot 1939;Twee onder een kap;modaal;Midden
21611;12;2932;3322;1821;1419;Y;Telemarketing;vaste prijs;grijze stroom;29-11-2002;9-4-2008;niet verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Hoog
21612;12;0;0;1231;994;Y;Online;vaste prijs;groene stroom;4-12-2002;4-12-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
21676;12;1556;0;1719;2468;Y;Prijsvergelijker;vaste prijs;groene stroom;30-11-2002;30-11-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Laag
21731;36;752;0;1097;1377;Y;Telemarketing;variabele prijs;grijze stroom;1-12-2002;1-1-2012;niet verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Midden
21769;12;2293;0;3213;1369;Y;Online;vaste prijs;groene stroom;1-6-2003;1-6-2011;niet verlengd;Midden;Paar met kinderen;1900 tot 1939;Rijtjeshuis;tussen modaal en 2 keer modaal;Midden
21792;36;2591;2647;2144;2973;Y;Speciale sales acties;vaste prijs;grijze stroom;6-12-2002;29-6-2007;niet verlengd;Midden;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Laag
21822;12;0;4894;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;2-1-2003;15-9-2006;niet verlengd;Hoog;Paar met kinderen;1900 tot 1939;Rijtjeshuis;modaal;Midden
21824;12;0;3264;0;0;Y;Inbound;vaste prijs;grijze stroom;6-12-2002;20-9-2005;niet verlengd;Midden;Paar met kinderen;1940 tot 1969;Rijtjeshuis;Onbekend;Laag
21843;12;0;3104;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;6-12-2002;23-8-2004;niet verlengd;Midden;Paar zonder kinderen;1900 tot 1939;Rijtjeshuis;modaal;Laag
21901;12;1759;2233;990;1031;Y;Prijsvergelijker;vaste prijs;grijze stroom;5-12-2002;13-12-2006;niet verlengd;Laag;Paar zonder kinderen;Voor 1899;Lage flat;tussen modaal en 2 keer modaal;Midden
21909;36;1476;0;3026;2941;Y;Inbound;variabele prijs;grijze stroom;27-12-2002;1-1-2012;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
21915;99;2974;5461;3244;2003;N;Online;variabele prijs;grijze stroom;4-12-2002;22-7-2005;verlengd;Midden;Paar met kinderen;1970 tot 1989;Rijtjeshuis;modaal;Midden
21932;36;2168;4580;0;0;Y;Telemarketing;variabele prijs;grijze stroom;6-12-2002;17-8-2009;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Twee onder een kap;modaal;Midden
21939;12;1259;0;1618;1040;Y;Speciale sales acties;variabele prijs;groene stroom;6-12-2002;20-12-2010;niet verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Hoog
21974;12;0;4151;0;0;N;Online;vaste prijs;grijze stroom;4-12-2002;8-3-2005;niet verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Rijtjeshuis;modaal;Midden
21993;36;1135;0;1432;1312;Y;Online;vaste prijs;grijze stroom;6-12-2002;8-9-2010;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Lage flat;tussen modaal en 2 keer modaal keer modaal of meer;Midden
22017;99;2715;4880;0;0;Y;Telemarketing;variabele prijs;grijze stroom;6-12-2002;17-5-2017;verlengd;Midden;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Midden
22020;99;3193;0;3143;3669;Y;Online;vaste prijs;grijze stroom;6-12-2002;6-3-2018;verlengd;Laag;Paar met kinderen;Voor 1899;Onbekend;modaal;Laag
22058;99;2550;0;2338;2888;Y;Telemarketing;variabele prijs;grijze stroom;6-12-2002;1-9-2017;verlengd;Hoog;Paar met kinderen;Voor 1899;Vrijstaand;Onbekend;Hoog
22061;12;0;0;2628;1995;Y;Online;vaste prijs;grijze stroom;6-1-2003;7-6-2004;niet verlengd;Laag;Paar met kinderen;1940 tot 1969;Twee onder een kap;Onbekend;Laag
22081;36;2045;0;1528;1647;Y;Online;variabele prijs;grijze stroom;14-6-2003;22-7-2010;niet verlengd;Midden;Paar met kinderen;1900 tot 1939;Rijtjeshuis;modaal;Laag
22102;12;0;3664;0;0;Y;Online;vaste prijs;grijze stroom;23-12-2002;21-6-2004;niet verlengd;Midden;Paar met kinderen;1900 tot 1939;Vrijstaand;modaal;Midden
22106;12;1140;0;2511;0;Y;Prijsvergelijker;variabele prijs;groene stroom;7-12-2002;7-12-2010;niet verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Midden
22111;36;1471;2864;1968;1853;Y;Telemarketing;variabele prijs;grijze stroom;9-12-2002;24-11-2009;niet verlengd;Laag;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en minimum;Laag
22116;36;1875;3846;0;0;Y;Telemarketing;variabele prijs;grijze stroom;9-12-2002;1-1-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Midden
22138;12;0;2569;0;0;Y;Online;variabele prijs;groene stroom;6-12-2002;6-12-2010;niet verlengd;Laag;Paar met kinderen;Voor 1899;Vrijstaand;tussen modaal en minimum;Laag
22153;12;0;2122;0;0;Y;Inbound;vaste prijs;grijze stroom;27-12-2002;8-5-2005;niet verlengd;Laag;Paar zonder kinderen;1940 tot 1969;Twee onder een kap;Onbekend;Midden
22188;36;2027;0;2470;2595;Y;Prijsvergelijker;vaste prijs;grijze stroom;27-12-2002;31-3-2008;niet verlengd;Midden;Paar met kinderen;Onbekend;VrijstaandOnbekend;tussen modaal en 2 keer modaal;Midden
22200;99;1159;0;2738;2567;Y;Online;vaste prijs;grijze stroom;9-12-2002;20-6-2009;verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Hoog
22218;12;0;0;3180;4860;N;Inbound;variabele prijs;grijze stroom;10-12-2002;10-12-2005;niet verlengd;Midden;Paar met kinderen;Onbekend;Vrijstaand;Onbekend;Laag
22224;99;1802;0;2404;2388;Y;Telemarketing;variabele prijs;grijze stroom;23-12-2002;1-9-2017;verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
22244;12;0;0;2187;2935;Y;Prijsvergelijker;vaste prijs;grijze stroom;9-12-2002;8-8-2006;niet verlengd;Midden;Paar zonder kinderen;1900 tot 1939;Twee onder een kap;modaal;Midden
22246;12;0;0;2946;3045;Y;Prijsvergelijker;vaste prijs;grijze stroom;19-1-2003;8-3-2006;niet verlengd;Hoog;Paar met kinderen;1940 tot 1969;Rijtjeshuis;tussen modaal en 2 keer modaal;Laag
22262;99;862;4918;0;0;Y;Speciale sales acties;vaste prijs;grijze stroom;9-12-2002;17-5-2017;verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Hoog
22269;12;0;0;2754;2285;Y;Online;vaste prijs;grijze stroom;20-12-2002;8-2-2004;niet verlengd;Laag;Paar met kinderen;1900 tot 1939;Twee onder een kap;Onbekend;Hoog
22322;36;3728;0;1492;1278;Y;Telemarketing;variabele prijs;grijze stroom;23-12-2002;6-7-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Maisonette;Onbekend;Midden
22335;36;2710;0;2927;3869;Y;Prijsvergelijker;variabele prijs;grijze stroom;2-1-2003;6-3-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Midden
22341;12;2859;0;3376;0;Y;Online;vaste prijs;grijze stroom;6-1-2003;1-8-2005;niet verlengd;Midden;Paar met kinderen;1940 tot 1969;Twee onder een kap;modaal;Midden
22362;36;2201;10236;0;0;Y;Online;variabele prijs;grijze stroom;20-12-2002;16-11-2003;niet verlengd;Midden;Alleenstaand;Onbekend;Onbekend;Onbekend;Midden
22365;99;1048;0;2683;0;Y;Speciale sales acties;variabele prijs;grijze stroom;19-12-2002;17-5-2017;verlengd;Laag;Paar met kinderen;Voor 1899;Lage flat;Onbekend;Laag
22375;12;572;0;1374;1391;Y;Telemarketing;variabele prijs;grijze stroom;19-12-2002;30-3-2007;niet verlengd;Midden;Paar met kinderen;Voor 1899;Lage flat;tussen modaal en 2 keer modaal;Midden
22377;12;0;0;1128;1037;Y;Inbound;variabele prijs;grijze stroom;19-12-2002;23-12-2005;niet verlengd;Midden;Paar met kinderen;1970 tot 1989;Rijtjeshuis;Onbekend;Midden
22386;99;1571;0;2670;2821;Y;Telemarketing;variabele prijs;grijze stroom;19-12-2002;10-2-2009;verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Midden
22435;99;1517;0;5004;0;Y;Online;variabele prijs;grijze stroom;19-12-2002;1-5-2009;verlengd;Laag;Paar met kinderen;Voor 1899;Onbekend;Onbekend;Laag
22492;12;1460;4205;0;0;Y;Telemarketing;variabele prijs;groene stroom;20-12-2002;15-12-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Vrijstaand;tussen modaal en 2 keer modaal;Hoog
22517;36;1700;2080;0;0;Y;Inbound;variabele prijs;groene stroom;21-12-2002;1-6-2009;niet verlengd;Laag;Paar met kinderen;Voor 1899;Maisonette;Onbekend;Hoog
22522;99;0;0;4470;5936;Y;Online;variabele prijs;grijze stroom;21-12-2002;9-1-2003;verlengd;Hoog;Alleenstaand;na 2000;Twee onder een kap;tussen modaal en 2 keer modaal keer modaal of meer;Midden
22535;12;3768;0;6303;0;Y;Online;vaste prijs;grijze stroom;23-12-2002;23-12-2007;niet verlengd;Laag;Paar met kinderen;Voor 1899;Grachtenpand;tussen modaal en 2 keer modaal;Laag
22549;12;0;4621;5133;5003;Y;Prijsvergelijker;variabele prijs;groene stroom;23-12-2002;3-1-2006;niet verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Vrijstaand;tussen modaal en 2 keer modaal;Hoog
22570;99;0;0;3392;3240;Y;Online;variabele prijs;grijze stroom;23-12-2002;23-3-2017;verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Midden
22590;12;0;0;1343;1942;Y;Inbound;variabele prijs;grijze stroom;9-1-2003;9-1-2006;niet verlengd;Hoog;Paar met kinderen;Onbekend;Rijtjeshuis;Onbekend;Midden
22591;12;0;0;995;849;Y;Inbound;vaste prijs;grijze stroom;26-12-2002;6-12-2007;niet verlengd;Midden;Paar met kinderen;Voor 1899;Hoge flat;Onbekend;Laag
22594;12;0;4768;0;0;Y;Online;vaste prijs;grijze stroom;26-12-2002;30-6-2003;verlengd;Midden;Alleenstaand;1990 tot 1999;Rijtjeshuis;modaal;Hoog
22609;12;0;0;1387;2429;Y;Inbound;vaste prijs;grijze stroom;26-12-2002;3-8-2005;niet verlengd;Midden;Paar zonder kinderen;1940 tot 1969;Maisonette;Onbekend;Laag
